,주차장코드,주차장명,주소,검색어,url
163,1434175,독산4동 공영주차장(구),금천구 독산동 187-40,독산4동 공영주차장,https://pcmap.place.naver.com/restaurant/1205549992/review/visitor#
164,1436808,가산디지털 서측(구),금천구 가산동 505-3,가산디지털 서측 주차장,https://pcmap.place.naver.com/restaurant/36010775/review/visitor#
165,1437917,영남 공영주차장(시),영등포구 영등포동4가 123-0,영남 공영주차장,https://pcmap.place.naver.com/restaurant/35977186/review/visitor#
166,1439690,수유마을시장 공영주차장(구),강북구 수유동 55-53,수유마을시장 공영주차장,https://pcmap.place.naver.com/restaurant/555878752/review/visitor#
167,1440586,시흥 4동 공영주차장(구),금천구 시흥동 704-56,시흥 4동 공영주차장,https://pcmap.place.naver.com/restaurant/36010777/review/visitor#
168,1440587,시흥 4동 (삼성)공영주차장(구),금천구 시흥동 171-1,시흥 4동 공영주차장,https://pcmap.place.naver.com/restaurant/36010777/review/visitor#
169,1441342,도곡초 공영주차장(구),강남구 대치동 924-10,도곡초 공영주차장,https://pcmap.place.naver.com/restaurant/1732574009/review/visitor#
170,1441348,서울놀이마당 공영주차장(구),송파구 잠실동 47-1,서울놀이마당 공영주차장,https://pcmap.place.naver.com/restaurant/1783012027/review/visitor#
171,1441353,신구초 공영주차장(구),강남구 신사동 550-11,신구초 공영주차장,https://pcmap.place.naver.com/restaurant/35940205/review/visitor#
172,1441360,역삼문화공원 공영주차장(구),강남구 역삼동 635-0,역삼문화공원 공영주차장,https://pcmap.place.naver.com/restaurant/1848183166/review/visitor#
173,1441362,천마 공영주차장(구),송파구 마천동 1-5,천마 공영주차장,https://pcmap.place.naver.com/restaurant/21186003/review/visitor#
174,1441365,보라매공원동문주차장(구),동작구 신대방동 395-0,보라매공원동문주차장,https://pcmap.place.naver.com/restaurant/19037886/review/visitor#
175,1441366,빙수골장미(구),동작구 상도동 301-132,빙수골장미 주차장,
176,1441367,탄천(구),송파구 잠실동 1082-1,탄천 주차장,https://pcmap.place.naver.com/restaurant/21710834/review/visitor#
177,1441370,도산대로25길 32 공영주차장(구),강남구 신사동 564-0,도산대로25길 32 공영주차장,
178,1441378,방이고분 공영주차장(구),송파구 방이동 125-0,방이고분 공영주차장,https://pcmap.place.naver.com/restaurant/35977947/review/visitor#
179,1441382,가재울 공영주차장(구),노원구 하계동 252-6,가재울 공영주차장,https://pcmap.place.naver.com/restaurant/18762269/review/visitor#
180,1441386,송파나루공원 동호주차장(구),송파구 신천동 32-0,송파나루공원 동호주차장,https://pcmap.place.naver.com/restaurant/45816113/review/visitor#
181,1441388,엔젤데이케이센터 지하주차장(구),동작구 사당동 278-34,엔젤데이케이센터 지하주차장,https://pcmap.place.naver.com/restaurant/31040674/review/visitor#
182,1441397,송파근린공원(구),송파구 송파동 113-2,송파근린공원 주차장,https://pcmap.place.naver.com/restaurant/1507838607/review/visitor#
183,144561,한국통신(구),양천구 목동 924-1,한국통신 주차장,https://pcmap.place.naver.com/restaurant/35940176/review/visitor#
184,1447973,중구구민회관 부설(구),중구 을지로6가 18-14,중구구민회관 부설 주차장,
185,1448767,신길6동공영(구),영등포구 신길동 3203-0,신길6동공영 주차장,https://pcmap.place.naver.com/restaurant/21185916/review/visitor#
186,1448769,경부제3녹지공영주차장(구),영등포구 신길동 69-39,경부제3녹지공영주차장,https://pcmap.place.naver.com/restaurant/38328263/review/visitor#
187,1449826,경동고(구),성북구 삼선동3가 43-1,경동고 주차장,https://pcmap.place.naver.com/restaurant/102220025/review/visitor#
188,1449827,정릉시장(구),성북구 정릉동 405-4,정릉시장 주차장,https://pcmap.place.naver.com/restaurant/21185621/review/visitor#
189,1451364,청계7가 공영주차장(시),종로구 창신동 436-87,청계7가 공영주차장,https://pcmap.place.naver.com/restaurant/36022170/review/visitor#
190,1451370,동순라길(종묘) 관광버스전용 주차장(시),종로구 인의동 107-1,동순라길 관광버스전용 주차장,https://pcmap.place.naver.com/restaurant/18673277/review/visitor#
191,1451371,세운상가밑(구),종로구 장사동 116-3,세운상가밑 주차장,https://pcmap.place.naver.com/restaurant/18672613/review/visitor#
192,1451378,태화관(구),종로구 인사동 194-27,태화관 주차장,
193,1451381,동일상가아파트 이륜전용주차장(구),종로구 숭인동 234-81,동일상가아파트 이륜전용주차장,
194,1451384,숭인상가아파트 이륜전용주차장(구),종로구 숭인동 204-14,숭인상가아파트 이륜전용주차장,
